,階層 Layer,平台 Platform,系統 System,模組 Module,組件 Actor,元件 Function / API,輸入 Input,處理 Process,輸出 Output,,,,,,,,,,,,,,,,
取得使用者 metadata,,,,metadata_mgt,UserManager,get_user,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uname"": <string>
}","1. 檢查 payload（必填欄位）
2. 透過 user_uname 找對應的 user metadata","{
""status_code"": <int>,
""message"": ""使用者查詢成功"",
""data"": {
""user_uid"": <uuid>,
""user_uname"": <string>,
""user_uemail"": <string>,
""last_login_time"": <string>
}
}",,,,,,,,,,,,,,,,
更新使用者,,,,metadata_mgt,UserManager,update_user,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <string>,
""user_uname"": <string>, // 可選
""user_uemail"": <string>, // 可選
...
}","1. 檢查 payload（必填欄位）
2. 透過 user_uid 找對應的 user metadata 並更新","{
""status_code"": <int>,
""message"": ""使用者更新成功""
}",,,,,,,,,,,,,,,,
刪除使用者 metadata,,,,metadata_mgt,UserManager,delete_user,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. metadata_mgt 呼叫 metadata_mgt/ConversataionManager 找 conversation(s) metadata
3. 透過 conversation_path(s) 刪除對應的 conversations/{user_uid}/{conversation_uid}.csv
4. 透過 conversation_uid(s) 刪除對應的 texts/{conversation_uid} 資料夾
5. 透過 user_uid 刪除對應的 user metadata","{
""status_code"": <int>,
""message"": ""使用者刪除成功""
}",,,,,,,,,,,,,,,,
workflow manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 workflow metadata,,,,metadata_mgt,WorkflowManager,create_workflow_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""workflow_step"": <strings>, // 可選
""workflow_status"": <string> // 可選
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata
3. 驗證 conversation metadata 是否存在對應的 workdlow metadata
4. 創建 workflow metadata","{
""status_code"": <int>,
""message"": ""Workflow 建立成功"",
""data"": {
""workflow_id"":<int>
}
}",,,,,,,,,,,,,,,,
取得 workflow metadata,,,,metadata_mgt,WorkflowManager,get_workflow_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata
3. 透過 conversation metadata 找對應的 workflow metadata","{
""status_code"": <int>,
""message"": ""查詢 Workflow 成功"",
""data"": {
""workflow_id"":<int>,
""workflow_step"":<string>,
""workflow_status"":<string>,
""start_time"":<string>,
""end_time"":<string>
}
}",,,,,,,,,,,,,,,,
更新 workflow metadata,,,,metadata_mgt,WorkflowManager,update_workflow_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""workflow_step"":<string>, // 可選
""workflow_status"":<string>, // 可選
""start_time"":<string>, // 可選
""end_time"":<string> // 可選
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata
3. 透過 conversation metadata 找對應的 workflow metadata 並更新","{
""status_code"": <int>,
""message"": ""Workflow 更新成功""
}",,,,,,,,,,,,,,,,
刪除 workflow metadata,,,,metadata_mgt,WorkflowManager,delete_workflow_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata
3. 透過 conversation metadata 找對應的 workflow metadata 並刪除 workflow metadata ","{
""status_code"": <int>,
""message"": ""Workflow 已刪除 (conversation_uid={conversation_uid})""
}",,,,,,,,,,,,,,,,
image manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 image metadata,,,,metadata_mgt,ImageManager,create_image_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata
3. 創建 images/{conversation_uid }/{image_uid}.png 路徑
4. 創建 image metadata","{
""status_code"": <int>,
""message"": ""Image 建立成功"",
""data"": {
""image_uid"": <uuid>,
""conversation_uid"": <uuid>,
""image_path"": <string>,
""created_at"": <string>
}
}",,,,,,,,,,,,,,,,
取得單一 image metadata,,,,metadata_mgt,ImageManager,get_image_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""image_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 image_uid 找對應的 image metadata","{
""status_code"": <int>,
""message"": ""Image 查詢成功"",
""data"": {
""image_uid"": <uuid>,
""conversation_uid"": <uuid>,
""image_path"": <string>,
""created_at"": <string>
}
}",,,,,,,,,,,,,,,,
取得對話下 image 列表 metadata,,,,metadata_mgt,ImageManager,get_image_metadata_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 conversation_uid 是否存在對應的 conversation metadata
3. 透過 conversation metadata 找對應的 image(s) metadata","{
""status_code"": <int>,
""message"": ""Image 查詢清單成功"",
""data"": [
{
""image_uid"": <uuid>,
""image_path"": <string>,
""created_at"": <string>
},
{...}
]
}",,,,,,,,,,,,,,,,
刪除 image metadata,,,,metadata_mgt,ImageManager,delete_image_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""image_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 image_uid 找對應的 image metadata 並刪除 image metadata","{
""status_code"": <int>,
""message"": ""Image 刪除成功""
}",,,,,,,,,,,,,,,,
audio manager,,,,,,,,,,,,,,,,,,,,,,,,,
