,階層 Layer,平台 Platform,系統 System,模組 Module,組件 Actor,元件 Function / API,輸入 Input,處理 Process,輸出 Output,,,,,,,,,,,,,,,,
group 分發 topic,,,,workflow_mgt,Producer,dispatch_topic,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""text_content"": <text content>
}","1. 檢查 payload（必填欄位）
2. workflow_mgt 呼叫 topic_mgt/Broker 推播 (self.broker_message)","{
""status_code"": <int>,
""message"": ""Dispatch successfully""
}",,,,,,,,,,,,,,,,
[Module] topic management,,,,,,,,,,,,,,,,,,,,,,,,,
topic manager,,,,,,,,,,,,,,,,,,,,,,,,,
創建 topic,,,,topic_mgt,TopicManager,create_topic,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. topic_mgt 呼叫 topic_mgt/Broker 註冊 (create_topic)","{
""status_code"": <int>,
""message"": ""Topic created successfully""
}",,,,,,,,,,,,,,,,
刪除 topic,,,,topic_mgt,TopicManager,delete_topic,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. topic_mgt 呼叫 topic_mgt/Broker 刪除 topic (delete_topic)","{
""status_code"": <int>,
""message"": ""Topic deleted successfully""
}",,,,,,,,,,,,,,,,
broker,,,,,,,,,,,,,,,,,,,,,,,,,
創建 topic,,,,topic_mgt,Broker,create_topic,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. topic_mgt 呼叫 metadata_mgt/ConversationManager 驗證 conversation metadata 存在 (verify_conversation_exist)
3. 註冊 topic","{
""status_code"": <int>,
""message"": ""Initialized topic for conversation {conversation_uid}""
}",,,,,,,,,,,,,,,,
刪除 topic,,,,topic_mgt,Broker,delete_topic,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 刪除 topic
3. 內部呼叫 topic_mgt/Broker 強制斷線 (force_disconnect)","{
""status_code"": <int>,
""message"": ""Removed topic for conversation {conversation_uid}""
}",,,,,,,,,,,,,,,,
WebSocket 連線、訂閱、斷線,,,,topic_mgt,Broker,"connect
disconnect",,"(A) connect
1. 透過 URL 取得 conversation_uid
2. 建立連線
3. 驗證 topic 是否已註冊
3. 訂閱 topic

(B) disconnect
1. 取消訂閱 topic",,,,,,,,,,,,,,,,,
WebSocket 強制斷線,,,,topic_mgt,Broker,force_disconnect,,"1. 檢查 payload（必填欄位）
2. 關閉連線
3. 取消訂閱 topic",,,,,,,,,,,,,,,,,
WebSocket 接收訊息,,,,topic_mgt,Broker,receive,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""text_content"": <text content>
}","1. 檢查 payload（必填欄位）
2. topic_mgt 呼叫 workflow_mgt/Consumer 分發接收訊息 (self.send_message)",,,,,,,,,,,,,,,,,
WebSocket 推播,,,,topic_mgt,Broker,broker_message,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""text_content"": <text content>
}","1. 檢查 payload（必填欄位）
2. 推播訊息",,,,,,,,,,,,,,,,,
